HOSTNAME,TIME,NET,MEM,CPU
host-10-9-3-167,1432689172,2825188,370792,0.02
host-10-9-3-168,1432689174,2375172,479108,0.15
mosix1.curs.pub.ro,1432689174,2846212,507712,0.31
host-10-9-3-167,1432689174,2825192,370784,0.02
host-10-9-3-168,1432689175,2375176,479084,0.14
mosix1.curs.pub.ro,1432689175,2846216,507828,0.31
host-10-9-3-167,1432689175,2825192,370892,0.02
host-10-9-3-168,1432689177,2375176,478960,0.14
mosix1.curs.pub.ro,1432689177,2846216,507852,0.31
host-10-9-3-167,1432689176,2825196,370792,0.02
host-10-9-3-168,1432689178,2375184,479084,0.14
mosix1.curs.pub.ro,1432689178,2846220,507968,0.37
host-10-9-3-167,1432689178,2825196,370768,0.02
host-10-9-3-168,1432689180,2375188,479100,0.14
mosix1.curs.pub.ro,1432689180,2846220,507852,0.37
host-10-9-3-167,1432689179,2825200,371024,0.02
host-10-9-3-168,1432689181,2375188,479084,0.12
mosix1.curs.pub.ro,1432689181,2846224,507876,0.37
host-10-9-3-167,1432689181,2825200,370916,0.02
host-10-9-3-168,1432689182,2375192,479348,0.12
mosix1.curs.pub.ro,1432689183,2846224,508140,0.37
host-10-9-3-167,1432689182,2825204,370916,0.02
host-10-9-3-168,1432689184,2375192,479356,0.12
mosix1.curs.pub.ro,1432689184,2846228,508008,0.34
host-10-9-3-167,1432689184,2825204,371024,0.02
host-10-9-3-168,1432689185,2375196,479332,0.11
mosix1.curs.pub.ro,1432689186,2846228,508124,0.34
host-10-9-3-167,1432689185,2825208,371024,0.01
host-10-9-3-168,1432689187,2375196,479348,0.11
mosix1.curs.pub.ro,1432689187,2846232,508272,0.34
host-10-9-3-167,1432689187,2825208,371040,0.01
host-10-9-3-168,1432689188,2375200,479456,0.11
mosix1.curs.pub.ro,1432689188,2846232,508272,0.31
host-10-9-3-167,1432689188,2825212,371016,0.01
host-10-9-3-168,1432689190,2375200,479348,0.11
mosix1.curs.pub.ro,1432689190,2846236,508248,0.31
host-10-9-3-167,1432689189,2825212,371140,0.01
host-10-9-3-168,1432689191,2375204,479464,0.11
mosix1.curs.pub.ro,1432689191,2846236,508280,0.31
host-10-9-3-167,1432689191,2825216,371140,0.01
host-10-9-3-168,1432689193,2375204,479464,0.11
mosix1.curs.pub.ro,1432689193,2846236,508248,0.31
host-10-9-3-167,1432689192,2825216,371388,0.01
host-10-9-3-168,1432689194,2375208,479456,0.11
mosix1.curs.pub.ro,1432689194,2846240,508404,0.29
host-10-9-3-167,1432689194,2825220,371388,0.01
host-10-9-3-168,1432689195,2375208,479596,0.10
mosix1.curs.pub.ro,1432689196,2846244,508248,0.29
host-10-9-3-167,1432689195,2825224,371396,0.01
host-10-9-3-168,1432689197,2375212,479580,0.10
mosix1.curs.pub.ro,1432689197,2846244,508528,0.29
host-10-9-3-167,1432689197,2825224,371388,0.01
host-10-9-3-168,1432689198,2375216,479472,0.10
mosix1.curs.pub.ro,1432689199,2846244,508636,0.26
host-10-9-3-167,1432689198,2825228,371280,0.01
host-10-9-3-168,1432689200,2375216,479580,0.10
mosix1.curs.pub.ro,1432689200,2846248,508496,0.26
host-10-9-3-167,1432689199,2825228,371528,0.01
host-10-9-3-168,1432689201,2375220,479588,0.09
mosix1.curs.pub.ro,1432689201,2846252,508504,0.26
host-10-9-3-167,1432689201,2825232,371412,0.01
host-10-9-3-168,1432689203,2375220,479588,0.09
mosix1.curs.pub.ro,1432689203,2846256,508776,0.26
host-10-9-3-167,1432689202,2825236,371396,0.01
host-10-9-3-168,1432689204,2375224,479836,0.09
mosix1.curs.pub.ro,1432689204,2846256,508620,0.24
host-10-9-3-167,1432689204,2825240,371512,0.01
host-10-9-3-168,1432689205,2375224,479720,0.08
mosix1.curs.pub.ro,1432689206,2846260,508752,0.24
host-10-9-3-167,1432689205,2825240,371528,0.01
host-10-9-3-168,1432689207,2375228,479596,0.08
mosix1.curs.pub.ro,1432689207,2846260,508884,0.24
host-10-9-3-167,1432689207,2825244,371412,0.01
host-10-9-3-168,1432689208,2375228,479828,0.08
mosix1.curs.pub.ro,1432689209,2846264,508744,0.22
host-10-9-3-167,1432689208,2825244,372528,0.01
host-10-9-3-168,1432689210,2375236,478968,0.08
mosix1.curs.pub.ro,1432689210,2846268,508868,0.22
host-10-9-3-167,1432689210,2825248,371520,0.01
host-10-9-3-168,1432689211,2375240,478820,0.08
mosix1.curs.pub.ro,1432689211,2846272,508752,0.22
host-10-9-3-167,1432689211,2825248,371776,0.09
host-10-9-3-168,1432689213,2375240,478968,0.08
mosix1.curs.pub.ro,1432689213,2846272,508992,0.22
host-10-9-3-167,1432689212,2825252,371636,0.09
host-10-9-3-168,1432689214,2375244,478960,0.08
mosix1.curs.pub.ro,1432689214,2846276,509124,0.52
host-10-9-3-167,1432689214,2825252,371636,0.09
host-10-9-3-168,1432689215,2375244,478820,0.07
mosix1.curs.pub.ro,1432689216,2846276,509008,0.52
host-10-9-3-167,1432689215,2825256,371636,0.08
host-10-9-3-168,1432689217,2375252,478572,0.07
mosix1.curs.pub.ro,1432689217,2846280,509000,0.52
host-10-9-3-167,1432689217,2825260,371636,0.08
host-10-9-3-168,1432689243,2375252,478400,0.05
mosix1.curs.pub.ro,1432689244,2846280,508984,0.32
host-10-9-3-167,1432689243,2825260,371520,0.05
host-10-9-3-168,1432689245,2375256,479084,0.05
mosix1.curs.pub.ro,1432689245,2846284,509240,0.32
host-10-9-3-167,1432689244,2825264,371776,0.05
host-10-9-3-168,1432689246,2375256,478944,0.04
mosix1.curs.pub.ro,1432689246,2846288,509248,0.32
host-10-9-3-167,1432689246,2825264,371660,0.05
host-10-9-3-168,1432689248,2375260,479076,0.04
mosix1.curs.pub.ro,1432689248,2846292,509272,0.32
host-10-9-3-167,1432689247,2825268,371900,0.05
host-10-9-3-168,1432689249,2375264,479076,0.04
mosix1.curs.pub.ro,1432689249,2846292,509372,0.29
host-10-9-3-167,1432689249,2825268,371892,0.05
host-10-9-3-168,1432689250,2375268,478572,0.04
mosix1.curs.pub.ro,1432689251,2846296,509248,0.29
host-10-9-3-167,1432689250,2825272,371908,0.05
host-10-9-3-168,1432689277,2375268,478664,0.03
mosix1.curs.pub.ro,1432689277,2846296,509364,0.19
host-10-9-3-167,1432689277,2825272,371784,0.03
host-10-9-3-168,1432689278,2375272,479192,0.03
mosix1.curs.pub.ro,1432689278,2846300,509488,0.34
host-10-9-3-167,1432689278,2825276,371744,0.03
